PATHWAY_SORTORDER,BIOCHEMICAL,SUPER_PATHWAY,SUB_PATHWAY,COMP_ID,PLATFORM,CHEMICAL_ID,RI,MASS,CAS,PUBCHEM,CHEMSPIDER,KEGG, HMDB_ID
5320,4-hydroxychlorothalonil,Xenobiotics,Chemical,48441,LC/MS Neg,100006082,4427,244.90817,28343-61-5,34217,31530,,
4950,4-hydroxycoumarin,Xenobiotics,Drug - Cardiovascular,37445,LC/MS Neg,100002049,2470,161.02441,1076-38-6,54682930,10254753,C20414,
48,4-hydroxyglutamate,Amino Acid,Glutamate Metabolism,40499,LC/MS Pos Early,100002544,1141,164.05535,2485-33-8,439902,388936,C03079,HMDB01344
4053,4-hydroxyhippurate,Xenobiotics,Benzoate Metabolism,35527,LC/MS Neg,100001423,1475,194.04588,2482-25-9,151012,133104,,HMDB13678
149,4-hydroxyphenylacetate,Amino Acid,Phenylalanine Metabolism,541,LC/MS Neg,144,1361,151.04007,156-38-7,127,3881560,C00642,HMDB00020
1039,4-hydroxyphenylacetylglutamine,Peptide,Acetylated Peptides,55017,LC/MS Neg,100010850,1650,279.09864,,,,,
163,4-hydroxyphenylpyruvate,Amino Acid,Tyrosine Metabolism,1669,LC/MS Neg,1141,1690,179.03498,156-39-8,979,954,C01179,HMDB00707
175,4-methoxyphenol sulfate,Amino Acid,Tyrosine Metabolism,48457,LC/MS Neg,100006262,2412,203.00196,3233-60-1,,,,
296,4-methyl-2-oxopentanoate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",22116,LC/MS Neg,100000551,2170,129.05571,816-66-0,70,69,C00233,HMDB00695
4084,4-methylcatechol sulfate,Xenobiotics,Benzoate Metabolism,46146,LC/MS Neg,100004111,2665,203.00196,,,,,
4079,4-methylguaiacol sulfate,Xenobiotics,Benzoate Metabolism,48418,LC/MS Neg,100006105,2978,217.01761,756760-43-7,,,,
1641,4-methylnonanoylcarnitine,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Medium Chain)",63612,LC/MS Pos Late,100021138,1055,316.24824,,,,,
4100,4-vinylphenol sulfate,Xenobiotics,Benzoate Metabolism,36098,LC/MS Neg,100001755,3320,199.00705,2628-17-3,6426766,4932200,C05627,HMDB62775
3885,"5,6-dihydrothymine",Nucleotide,"Pyrimidine Metabolism, Thymine containing",1418,LC/MS Neg,158,1637.8,127.0513,696-04-8,93556,84456,C00906,HMDB00079
3832,"5,6-dihydrouridine",Nucleotide,"Pyrimidine Metabolism, Uracil containing",61833,LC/MS Neg,100001425,1119,245.07791,5/4/5627,94312,85115,,
112,5-(galactosylhydroxy)-L-lysine,Amino Acid,Lysine Metabolism,43582,LC/MS Pos Early,100002462,2755,325.16055,32448-36-5,123986,,,
4153,5-acetylamino-6-amino-3-methyluracil,Xenobiotics,Xanthine Metabolism,34424,LC/MS Polar,100001403,1710,197.06801,1196153-01-1,88299,79659,C16366,HMDB04400
4154,5-acetylamino-6-formylamino-3-methyluracil,Xenobiotics,Xanthine Metabolism,34401,LC/MS Polar,100001402,1424,225.06292,85438-96-6,108214,97287,C16365,HMDB11105
1336,5-dodecenoate (12:1n7),Lipid,Medium Chain Fatty Acid,33968,LC/MS Neg,100001232,5224,197.1547,2430-94-6,5312378,4471803,,HMDB00529
1661,5-dodecenoylcarnitine (C12:1),Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Monounsaturated)",61769,LC/MS Pos Late,100016069,1135,342.26389,,,,,HMDB13326
5355,5-hydroxy-2-methylpyridine sulfate,Xenobiotics,Chemical,63230,LC/MS Neg,100020973,2074,188.0023,,,,,
5084,5-hydroxy-6-methoxy duloxetine sulfate*,Xenobiotics,Drug - Psychoactive,62481,LC/MS Neg,100020798,3807,422.07375,,,25061067,,
1756,5-hydroxyhexanoate,Lipid,"Fatty Acid, Monohydroxy",31938,LC/MS Neg,100001148,1267,131.07136,44843-89-2,170748,149280,,HMDB00525
111,5-hydroxylysine,Amino Acid,Lysine Metabolism,15685,LC/MS Pos Early,100000054,2790,163.10772,13204-98-3,1029,1002,C16741,HMDB00450
480,5-methylthioadenosine (MTA),Amino Acid,Polyamine Metabolism,1419,LC/MS Pos Early,212,2752,298.09684,2457-80-9,439176,388321,C00170,HMDB01173
3834,5-methyluridine (ribothymidine),Nucleotide,"Pyrimidine Metabolism, Uracil containing",35136,LC/MS Neg,100001446,1778.1,257.07791,1463-10-1,445408,393058,,HMDB00884
499,5-oxoproline,Amino Acid,Glutathione Metabolism,1494,LC/MS Neg,1021,738.5,128.03531,98-79-3,7405,7127,C01879,HMDB00267
3018,"5alpha-androstan-3alpha,17alpha-diol monosulfate",Lipid,Androgenic Steroids,37183,LC/MS Neg,100002008,5208,371.18976,,,,,
3039,"5alpha-androstan-3alpha,17beta-diol disulfate",Lipid,Androgenic Steroids,37184,LC/MS Neg,100002017,4275,225.06965,,,,,
3037,"5alpha-androstan-3alpha,17beta-diol monosulfate (1)",Lipid,Androgenic Steroids,37186,LC/MS Neg,100002018,4925,371.18976,,,,,
3038,"5alpha-androstan-3alpha,17beta-diol monosulfate (2)",Lipid,Androgenic Steroids,37185,LC/MS Neg,100006005,5080,371.18976,,,,,
3048,"5alpha-androstan-3beta,17alpha-diol disulfate",Lipid,Androgenic Steroids,37187,LC/MS Neg,100002021,4215,225.06965,,,,,
3045,"5alpha-androstan-3beta,17beta-diol disulfate",Lipid,Androgenic Steroids,37190,LC/MS Neg,100001987,3880,225.06965,571-20-0,242332,,C12525,HMDB00493
3044,"5alpha-androstan-3beta,17beta-diol monosulfate (2)",Lipid,Androgenic Steroids,37192,LC/MS Neg,100002024,4685,371.18976,,,,,
2956,"5alpha-pregnan-3beta,20alpha-diol disulfate",Lipid,Progestin Steroids,37198,LC/MS Neg,100001988,3962,239.0853,,,,,
2950,"5alpha-pregnan-3beta,20alpha-diol monosulfate (2)",Lipid,Progestin Steroids,37200,LC/MS Neg,100002014,5060,399.22106,,,,,
2947,"5alpha-pregnan-3beta,20beta-diol monosulfate (1)",Lipid,Progestin Steroids,37196,LC/MS Neg,100002009,5180,399.22106,,,,,
2957,5alpha-pregnan-diol disulfate,Lipid,Progestin Steroids,46172,LC/MS Neg,100002015,4310,239.0853,,5127902,4302261,,
286,6-bromotryptophan,Amino Acid,Tryptophan Metabolism,62503,LC/MS Neg,100020414,3565,280.99311,,,,,
5338,6-hydroxyindole sulfate,Xenobiotics,Chemical,48698,LC/MS Neg,100006260,2498,212.0023,,122198196,,,
124,6-oxopiperidine-2-carboxylate,Amino Acid,Lysine Metabolism,43231,LC/MS Neg,100004499,965,142.05096,34622-39-4,3014237,2282737,,HMDB61705
2883,7-alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca),Lipid,Sterol,36776,LC/MS Neg,100001609,5288.1,429.30103,115538-85-7,3081085,2338765,C17337,HMDB12458
3798,7-methylguanine,Nucleotide,"Purine Metabolism, Guanine containing",35114,LC/MS Pos Early,100001456,2175,166.07234,578-76-7,11361,10883,C02242,HMDB00897
4145,7-methylurate,Xenobiotics,Xanthine Metabolism,39598,LC/MS Pos Early,100002241,1321,183.05127,612-37-3,69160,62375,C16355,HMDB11107
4152,7-methylxanthine,Xenobiotics,Xanthine Metabolism,34390,LC/MS Pos Early,100001396,1350,167.05636,552-62-5,68374,61660,C16353,HMDB01991
251,8-methoxykynurenate,Amino Acid,Tryptophan Metabolism,62955,LC/MS Neg,100020360,2863,218.04588,2929-14-8,76230,68710,C05830,HMDB60426
1793,"9,10-DiHOME",Lipid,"Fatty Acid, Dihydroxy",38399,LC/MS Neg,179,5180,313.23843,263399-34-4,9966640,8142232,C14828,HMDB04704
1782,9-hydroxystearate,Lipid,"Fatty Acid, Monohydroxy",47120,LC/MS Neg,100005834,5384,299.25917,25498-28-6,9570127,7844595,,HMDB61661
4512,acesulfame,Xenobiotics,Food Component/Plant,48569,LC/MS Neg,100006203,1581,161.98665,55589-62-3,36573,33607,,HMDB33585
1706,acetoacetate,Lipid,Ketone Bodies,33963,LC/MS Pos Early,1218,1062,103.03898,11/2/3483,96,94,C00164,HMDB00060
1632,acetylcarnitine (C2),Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Short Chain)",32198,LC/MS Pos Early,100000802,2282,204.12304,5080-50-2,1,5406074,C02571,HMDB00201
476,acisoga,Amino Acid,Polyamine Metabolism,43258,LC/MS Neg,100004541,2297,183.1139,106692-36-8,129397,114601,,
1283,aconitate [cis or trans],Energy,TCA Cycle,46173,LC/MS Neg,100001359,580,173.00916,,,,,
3761,adenine,Nucleotide,"Purine Metabolism, Adenine containing",554,LC/MS Pos Early,880,2221,136.06178,73-24-5,190,185,C00147,HMDB00034
3752,adenosine 5'-diphosphate (ADP),Nucleotide,"Purine Metabolism, Adenine containing",3108,LC/MS Pos Early,208,607,428.0367,20398-34-9,6022,5800,C00008,HMDB01341
3929,adenosine 5'-diphosphoribose (ADP-ribose),Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,558,LC/MS Neg,215,920,558.06439,68414-18-6,192,3674071,C00301,HMDB01178
3753,adenosine 5'-monophosphate (AMP),Nucleotide,"Purine Metabolism, Adenine containing",32342,LC/MS Pos Early,209,1013,348.07037,149022-20-8,6083,10239183,C00020,HMDB00045
1683,adipoylcarnitine (C6-DC),Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Dicarboxylate)",52988,LC/MS Pos Early,100006614,2570,290.15982,,71296139,28540385,,HMDB61677
1400,adrenate (22:4n6),Lipid,Long Chain Polyunsaturated Fatty Acid (n3 and n6),32980,LC/MS Neg,100001193,5678,331.26425,2091-25-0,5497181,4445971,C16527,HMDB02226
28,alanine,Amino Acid,Alanine and Aspartate Metabolism,1126,LC/MS Pos Early,811,1700,90.05496,56-41-7,5950,5735,C00041,HMDB00161
3747,allantoin,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",1107,LC/MS Polar,1002,1672,157.03671,97-59-6,204,199,C02350,HMDB00462
4307,alliin,Xenobiotics,Food Component/Plant,41494,LC/MS Pos Early,100003473,1470,178.05324,556-27-4,87310,78760,C08265,HMDB33592
18,allo-threonine,Amino Acid,"Glycine, Serine and Threonine Metabolism",15142,LC/MS Polar,100000272,2511.1,118.05096,28954-12-3,99289,89699,C05519,HMDB04041
5015,allopurinol,Xenobiotics,Drug - Metabolic,43534,LC/MS Neg,100004518,1530,135.03123,315-30-0,2094,2010,,
5016,allopurinol riboside,Xenobiotics,Drug - Metabolic,38321,LC/MS Pos Early,100002454,1286,269.08805,16220-07-8,,,,
3969,alpha-CEHC sulfate,Cofactors and Vitamins,Tocopherol Metabolism,47666,LC/MS Neg,100005972,3090,357.10134,,,,,
1727,alpha-hydroxycaproate,Lipid,"Fatty Acid, Monohydroxy",37073,LC/MS Neg,100001723,1920,131.07136,6064-63-7,99824,90191,,HMDB01624
300,alpha-hydroxyisocaproate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",22132,LC/MS Neg,100000706,1840,131.07136,10303-64-7,83697,75520,C03264,HMDB00746
361,alpha-hydroxyisovalerate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",33937,LC/MS Neg,100001300,1126,117.05571,600-37-3,99823,90190,,HMDB00407
390,alpha-ketobutyrate,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",4968,LC/MS Polar,796,940,101.02442,600-18-0,58,2829426,C00109,HMDB00005
44,alpha-ketoglutaramate*,Amino Acid,Glutamate Metabolism,62101,LC/MS Polar,100002397,1916,144.03023,18465-19-5,48,,,
1287,alpha-ketoglutarate,Energy,TCA Cycle,528,LC/MS Polar,93,2700,145.01425,305-72-6;328-50-7;22202-68-2,51,50,C00026,HMDB00208
3958,alpha-tocopherol,Cofactors and Vitamins,Tocopherol Metabolism,1561,LC/MS Pos Late,1105,2522,430.37818,59-02-9;10191-41-0,14985,14265,C02477,HMDB01893
3052,andro steroid monosulfate C19H28O6S (1)*,Lipid,Androgenic Steroids,32827,LC/MS Neg,100002152,3871,383.1534,,,,C04555,HMDB02759
3027,"androstenediol (3alpha, 17alpha) monosulfate (2)",Lipid,Androgenic Steroids,37207,LC/MS Neg,100002026,4712,369.17411,,,,,
3028,"androstenediol (3alpha, 17alpha) monosulfate (3)",Lipid,Androgenic Steroids,37209,LC/MS Neg,100002027,5180,369.17411,,,,,
3023,"androstenediol (3beta,17beta) disulfate (1)",Lipid,Androgenic Steroids,37202,LC/MS Neg,100001992,3740,224.06182,,87120982,,C04295,HMDB03818
3024,"androstenediol (3beta,17beta) disulfate (2)",Lipid,Androgenic Steroids,37203,LC/MS Neg,100001994,4065,224.0624,,87120982,,C04295,HMDB03818
3020,"androstenediol (3beta,17beta) monosulfate (1)",Lipid,Androgenic Steroids,37211,LC/MS Neg,100002028,4535,369.17411,521-17-5,13847309,,,HMDB03818
3021,"androstenediol (3beta,17beta) monosulfate (2)",Lipid,Androgenic Steroids,37210,LC/MS Neg,100002029,4500,369.17411,,,,,
3004,androsterone glucuronide,Lipid,Androgenic Steroids,61846,LC/MS Neg,100002761,4953,465.24939,1852-43-3,114833,102793,C11135,HMDB02829
3014,androsterone sulfate,Lipid,Androgenic Steroids,31591,LC/MS Neg,100001073,5022,369.17411,2479-86-9,159663,19988780,,HMDB02759
1119,arabinose,Carbohydrate,Pentose Metabolism,575,LC/MS Polar,828,1804.5,195.05103,28697-53-2,66308,59687,C00216,HMDB00646
1127,arabitol/xylitol,Carbohydrate,Pentose Metabolism,48885,LC/MS Polar,100006430,1932.4,151.0612,,6912,,C01904,
1133,arabonate/xylonate,Carbohydrate,Pentose Metabolism,48255,LC/MS Polar,100006115,2700,165.04046,,,,,
1345,arachidate (20:0),Lipid,Long Chain Saturated Fatty Acid,1118,LC/MS Neg,893,6240,311.29555,506-30-9,10467,10035,C06425,HMDB02212
1398,arachidonate (20:4n6),Lipid,Long Chain Polyunsaturated Fatty Acid (n3 and n6),1110,LC/MS Neg,229,5535,303.23295,506-32-1,444899,392692,C00219,HMDB01043
1673,arachidonoylcarnitine (C20:4),Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Polyunsaturated)",57518,LC/MS Pos Late,100015837,1353,448.34215,,,,,
1721,arachidonoylcholine,Lipid,Fatty Acid Metabolism (Acyl Choline),53261,LC/MS Pos Late,100009332,1390,390.33666,,,,,
1649,arachidoylcarnitine (C20)*,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Long Chain Saturated)",57513,LC/MS Pos Late,100015833,1512,456.40474,,,28639199,,HMDB06460
450,argininate*,Amino Acid,Urea cycle; Arginine and Proline Metabolism,57461,LC/MS Pos Early,100002769,2150,176.10297,157-07-3,160437,140984,,HMDB03148
414,arginine,Amino Acid,Urea cycle; Arginine and Proline Metabolism,1638,LC/MS Pos Early,231,2825,175.11896,1119-34-2,232,227,C00062,HMDB00517
3948,ascorbate (Vitamin C),Cofactors and Vitamins,Ascorbate and Aldarate Metabolism,32354,LC/MS Pos Early,233,770,177.03937,134-03-2,54670067,10189562,C00072,HMDB00044
3949,ascorbic acid 2-sulfate,Cofactors and Vitamins,Ascorbate and Aldarate Metabolism,63590,LC/MS Polar,100009329,3042,254.98162,,86484,77998,,
3950,ascorbic acid 3-sulfate*,Cofactors and Vitamins,Ascorbate and Aldarate Metabolism,63687,LC/MS Polar,100020409,2025,254.98146,,11425365,9600241,,
39,asparagine,Amino Acid,Alanine and Aspartate Metabolism,512,LC/MS Pos Early,917,1225,133.06077,70-47-3,6267,6031,C00152,HMDB00168
35,aspartate,Amino Acid,Alanine and Aspartate Metabolism,443,LC/MS Pos Early,234,1165,134.04479,56-84-8,5960,5745,C00049,HMDB00191
4943,atenolol,Xenobiotics,Drug - Cardiovascular,38658,LC/MS Pos Early,100002726,2668,267.17032,29122-68-7,2249,2162,D00235,HMDB01924
1501,azelate (C9-DC),Lipid,"Fatty Acid, Dicarboxylate",18362,LC/MS Polar,2029,2520,187.09758,123-99-9,2266,2179,C08261,HMDB00784
1650,behenoylcarnitine (C22)*,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Long Chain Saturated)",57514,LC/MS Pos Late,100015832,1561,484.43604,,,28639204,,
4059,benzoate,Xenobiotics,Benzoate Metabolism,15778,LC/MS Neg,100000008,1750,121.0295,65-85-0,243,238,C00180,HMDB01870
3849,beta-alanine,Nucleotide,"Pyrimidine Metabolism, Uracil containing",55,LC/MS Pos Early,244,1905,90.05496,56-41-7;107-95-9,239,234,C00099,HMDB00056
54,beta-citrylglutamate,Amino Acid,Glutamate Metabolism,54923,LC/MS Neg,100003271,530,320.06232,73590-26-8,72715786,19992713,C20775,
4029,beta-cryptoxanthin,Cofactors and Vitamins,Vitamin A Metabolism,57591,LC/MS Pos Late,100001977,2560,552.43257,472-70-8,6384256,4904571,,HMDB33844
313,beta-hydroxyisovalerate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",12129,LC/MS Neg,1442,1027,117.05572,625-08-1,69362,62571,,HMDB00754
314,beta-hydroxyisovaleroylcarnitine,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",35433,LC/MS Pos Early,100001594,2584,262.1649,99159-87-2,,21403176,,
2897,beta-sitosterol,Lipid,Sterol,27414,LC/MS Pos Late,100001033,3054,397.38289,83-46-5,222284,192962,C01753,HMDB00852
6,betaine,Amino Acid,"Glycine, Serine and Threonine Metabolism",3141,LC/MS Pos Early,799,1064,118.08626,107-43-7,247,"24,219,951,173",C00719,HMDB00043
4291,betonicine,Xenobiotics,Food Component/Plant,38100,LC/MS Pos Early,100002153,1012,160.09682,515-25-3,164642,144333,C08269,HMDB29412
4004,"bilirubin (E,E)*",Cofactors and Vitamins,Hemoglobin and Porphyrin Metabolism,32586,LC/MS Pos Late,100001950,1045,585.27076,,5315454,4474753,,
4005,"bilirubin (E,Z or Z,E)*",Cofactors and Vitamins,Hemoglobin and Porphyrin Metabolism,47886,LC/MS Pos Late,100001951,1265,585.27076,,5799469,4705847,,HMDB00488
4003,"bilirubin (Z,Z)",Cofactors and Vitamins,Hemoglobin and Porphyrin Metabolism,43807,LC/MS Pos Late,1090,1840,585.27076,635-65-4,5280352,4444055,C00486,HMDB00054
4006,biliverdin,Cofactors and Vitamins,Hemoglobin and Porphyrin Metabolism,2137,LC/MS Pos Late,250,1016,583.25512,55482-27-4;55482-27-4,5353439,10628548,C00500,HMDB01008
1515,branched chain 14:0 dicarboxylic acid**,Lipid,"Fatty Acid, Dicarboxylate",63191,LC/MS Neg,100021374,3849,257.17583,,,,,
5447,"branched-chain, straight-chain, or cyclopropyl 10:1 fatty acid (1)*",Partially Characterized Molecules,Partially Characterized Molecules,63615,LC/MS Neg,100021666,4805,169.1234,,,,,
5448,"branched-chain, straight-chain, or cyclopropyl 10:1 fatty acid (2)*",Partially Characterized Molecules,Partially Characterized Molecules,63616,LC/MS Neg,100021667,4853,169.1234,,,,,
5450,"branched-chain, straight-chain, or cyclopropyl 10:1 fatty acid (3)*",Partially Characterized Molecules,Partially Characterized Molecules,63617,LC/MS Neg,100021668,4931,169.1234,,,,,
5449,"branched-chain, straight-chain, or cyclopropyl 12:1 fatty acid*",Partially Characterized Molecules,Partially Characterized Molecules,63683,LC/MS Neg,100021709,5261,197.15457,,,,,
1324,butyrate (4:0),Lipid,Short Chain Fatty Acid,40605,LC/MS Neg,1143,1062,87.04515,109-92-6,264,259,C00246,HMDB00039
1590,butyrylcarnitine (C4),Lipid,Fatty Acid Metabolism (also BCAA Metabolism),32412,LC/MS Pos Early,100001054,2860,232.15434,25576-40-3,439829,184820,C02862,HMDB02013
1591,butyrylglycine,Lipid,Fatty Acid Metabolism (also BCAA Metabolism),31850,LC/MS Neg,100001151,1470,144.06661,20208-73-5,88412,79766,,HMDB00808
236,C-glycosyltryptophan,Amino Acid,Tryptophan Metabolism,48782,LC/MS Neg,100006379,1777,365.13542,180509-18-6,10981970,9157171,,
4663,caffeic acid sulfate,Xenobiotics,Food Component/Plant,53254,LC/MS Polar,100009337,1307,258.99179,,,30777608,,HMDB41708
4140,caffeine,Xenobiotics,Xanthine Metabolism,569,LC/MS Pos Early,849,2106,195.08766,58-08-2,2519,2424,C07481,HMDB01847
1330,caprate (10:0),Lipid,Medium Chain Fatty Acid,1642,LC/MS Neg,888,5090.7,171.13905,334-48-5,2969,2863,C01571,HMDB00511
1326,caproate (6:0),Lipid,Medium Chain Fatty Acid,32489,LC/MS Neg,926,2713.7,115.07645,142-62-1,8892,8552,C01585,HMDB00535
1328,caprylate (8:0),Lipid,Medium Chain Fatty Acid,32492,LC/MS Neg,932,4362,143.10775,124-07-2,379,370,C06423,HMDB00482
56,carboxyethyl-GABA,Amino Acid,Glutamate Metabolism,40007,LC/MS Pos Early,100003260,2085,176.09174,3/2/4386,2572,2474,,HMDB02201
4771,carboxyibuprofen,Xenobiotics,"Drug - Analgesics, Anesthetics",43333,LC/MS Neg,100004171,1920,235.09758,15935-54-3,10444113,8619532,,HMDB60564
1702,carnitine,Lipid,Carnitine Metabolism,15500,LC/MS Pos Early,100000007,1978,162.11247,461-05-2,10917,10455,C00318,HMDB00062
5446,carnitine of C10H14O2 (5)*,Partially Characterized Molecules,Partially Characterized Molecules,63650,LC/MS Neg,100021678,4521,370.18711,,,,,
4025,carotene diol (1),Cofactors and Vitamins,Vitamin A Metabolism,57635,LC/MS Pos Late,100015966,1720,568.42759,,,,,
4026,carotene diol (2),Cofactors and Vitamins,Vitamin A Metabolism,57636,LC/MS Pos Late,100015967,1904,568.42793,,,,,
4027,carotene diol (3),Cofactors and Vitamins,Vitamin A Metabolism,57637,LC/MS Pos Late,100015968,1948,568.42786,,,,,
4077,catechol sulfate,Xenobiotics,Benzoate Metabolism,35320,LC/MS Neg,100001605,1906,188.98631,4918-96-1,3083879,2341024,,HMDB59724
4784,celecoxib,Xenobiotics,"Drug - Analgesics, Anesthetics",38599,LC/MS Neg,100002805,5283,380.0686,169590-42-5,2662,2562,C07589,HMDB05014
1652,cerotoylcarnitine (C26)*,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Long Chain Saturated)",57516,LC/MS Pos Late,100015835,1649,540.49864,,,35015992,,HMDB06347
5110,cetirizine,Xenobiotics,Drug - Respiratory,54745,LC/MS Pos Late,100009034,1052,389.16265,83881-51-0,2678,2577,C07778,HMDB05032
3082,chenodeoxycholate,Lipid,Primary Bile Acid Metabolism,1563,LC/MS Neg,1123,5264,391.28538,474-24-9;474-25-9,10133,,C02528,HMDB00518
1941,chiro-inositol,Lipid,Inositol Metabolism,37112,LC/MS Polar,100001859,3191.2,225.06159,643-12-9,,10254647,C19891,HMDB34220
4962,chlorthalidone,Xenobiotics,Drug - Cardiovascular,54784,LC/MS Neg,100006181,3600,337.00553,77-36-1,2732,2631,D00272,
3079,cholate,Lipid,Primary Bile Acid Metabolism,22842,LC/MS Neg,136,5165,407.28029,81-25-4,221493,,C00695,HMDB00619
2872,cholesterol,Lipid,Sterol,63,LC/MS Pos Late,266,2707,369.35159,57-88-5,11025495,4937803,C00187,HMDB00067
1969,choline,Lipid,Phospholipid Metabolism,15506,LC/MS Pos Early,1256,1961,104.10699,67-48-1,305,149278,C00114,HMDB00097
1970,choline phosphate,Lipid,Phospholipid Metabolism,34396,LC/MS Pos Early,267,700,184.07332,72556-74-2,1014,119298,C00588,HMDB01565
4984,cimetidine,Xenobiotics,Drug - Gastrointestinal,42592,LC/MS Pos Early,100004011,2715,253.123,51481-61-9,,,,
4344,cinnamoylglycine,Xenobiotics,Food Component/Plant,38637,LC/MS Neg,100002253,3127,204.06661,16534-24-0,709625,618829,,HMDB11621
1331,cis-4-decenoate (10:1n6)*,Lipid,Medium Chain Fatty Acid,62873,LC/MS Neg,100002796,4890,169.1234,505-90-8,5312351,4471776,,
1659,cis-4-decenoylcarnitine (C10:1),Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Monounsaturated)",38178,LC/MS Pos Late,100002259,1057,314.23259,98930-66-6,,28639171,,
5073,citalopram N-oxide*,Xenobiotics,Drug - Psychoactive,62476,LC/MS Pos Late,100020792,905,341.16599,,10068142,8243682,C16607,HMDB60654
5074,citalopram propionate*,Xenobiotics,Drug - Psychoactive,62479,LC/MS Neg,100020793,4400,310.08849,,10403174,8578612,C16610,HMDB60463
1302,citraconate/glutaconate,Energy,TCA Cycle,47076,LC/MS Polar,100006438,2600,129.0194,,,,,
1281,citrate,Energy,TCA Cycle,1564,LC/MS Neg,1124,582,191.01973,77-92-9,311,305,C00158,HMDB00094
423,citrulline,Amino Acid,Urea cycle; Arginine and Proline Metabolism,2132,LC/MS Pos Early,391,1520,176.10297,372-75-8,9750,810,C00327,HMDB00904
2979,cortisol,Lipid,Corticosteroids,1712,LC/MS Neg,356,4710,361.20204,50-23-7,5754,,C00735,HMDB00063
2982,cortisone,Lipid,Corticosteroids,1769,LC/MS Neg,273,4575,359.18639,53-06-5,222786,361685,C00762,HMDB02802
2988,cortolone glucuronide (1),Lipid,Corticosteroids,57699,LC/MS Neg,100015971,4600,541.26543,,,,,
4156,cotinine,Xenobiotics,Tobacco Metabolite,553,LC/MS Pos Early,848,2213,177.10224,486-56-6,854019,746405,,HMDB01046
456,creatine,Amino Acid,Creatine Metabolism,27718,LC/MS Pos Early,1221,1947,132.07676,57-00-1,586,566,C00300,HMDB00064
457,creatinine,Amino Acid,Creatine Metabolism,513,LC/MS Pos Early,275,2055,114.06619,60-27-5,588,568,C00791,HMDB00562
498,"cys-gly, oxidized",Amino Acid,Glutathione Metabolism,18368,LC/MS Pos Early,1224,2947,355.07406,7729-20-6,333293,295316,,
389,cystathionine,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",15705,LC/MS Pos Early,310,2270,223.07471,535-34-2,439258,811,C02291,HMDB00099
391,cysteine,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",1868,LC/MS Pos Early,800,1475,122.02703,52-90-4;56-89-3,5862,5653,C00097,HMDB00574
396,cysteine s-sulfate,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",22176,LC/MS Polar,100000808,2273,199.96928,1637-71-4,115015,102939,C05824,HMDB00731
493,cysteine-glutathione disulfide,Amino Acid,Glutathione Metabolism,35159,LC/MS Pos Early,100001437,2465,427.09519,13081-14-6,4247235,3455404,,HMDB00656
496,cysteinylglycine,Amino Acid,Glutathione Metabolism,35637,LC/MS Pos Early,278,2132,179.0485,19246-18-5,439498,58762,C01419,HMDB00078
497,cysteinylglycine disulfide*,Amino Acid,Glutathione Metabolism,62103,LC/MS Pos Early,100002466,2547,298.05259,70555-24-7,,17215992,,HMDB00709
397,cystine,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",56,LC/MS Pos Early,279,2000,241.03113,56-89-3,67678,575,C00491,HMDB00192
3860,cytidine,Nucleotide,"Pyrimidine Metabolism, Cytidine containing",514,LC/MS Neg,827,1325,242.07824,65-46-3,6175,5940,C00475,HMDB00089
1504,decadienedioic acid (C10:2-DC)**,Lipid,"Fatty Acid, Dicarboxylate",63685,LC/MS Polar,100021711,2329.7,197.08185,,,,,
1642,decanoylcarnitine (C10),Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Medium Chain)",33941,LC/MS Pos Late,100001251,1130,316.24824,1492-27-9,10245190,8420677,,HMDB00651
3002,dehydroepiandrosterone sulfate (DHEA-S),Lipid,Androgenic Steroids,32425,LC/MS Neg,100000792,4745,367.15846,651-48-9,12594,12074,C04555,HMDB01032
3974,delta-CEHC,Cofactors and Vitamins,Tocopherol Metabolism,62287,LC/MS Neg,100020416,3422,249.11323,84599-16-6,11536125,9710906,,
1701,deoxycarnitine,Lipid,Carnitine Metabolism,36747,LC/MS Pos Early,100001662,2052,146.11756,6249-56-5,134,705,C01181,HMDB01161
